Rank	Word			Frequency
1	de			10063
2	la			5538
3	en			4454
4	el			4084
5	que			3877
6	y			3602
7	a			2753
8	los			2562
9	del			1663
10	las			1656
11	se			1460
12	un			1406
13	por			1371
14	con			1279
15	para			1186
16	una			1171
17	su			960
18	es			880
19	no			823
20	al			793
21	ha			732
22	o			714
23	como			682
24	más			669
25	lo			558
26	sus			448
27	ivoox			380
28	este			378
29	hoy			341
30	sobre			330
31	pero			320
32	desde			303
33	también			277
34	años			263
35	entre			251
36	han			238
37	país			236
38	si			233
39	sin			227
40	esta			220
41	parte			209
42	son			205
43	todo			201
44	ser			197
45	está			189
46	cada			184
47	le			180
48	me			178
49	ya			171
50	dos			170
51	web			169
52	mundo			162
53	uno			158
54	cualquier			158
55	hay			155
56	cuando			154
57	e			153
58	así			150
59	caso			150
60	usuario			150
61	tiene			148
62	datos			148
63	forma			145
64	donde			140
65	porque			140
66	muy			138
67	servicio			135
68	servicios			135
69	fue			134
70	hasta			134
71	información			132
72	españa			131
73	puede			130
74	era			123
75	todos			120
76	través			120
77	otros			116
78	estos			115
79	condiciones			115
80	contenidos			115
81	nos			114
82	hace			113
83	tras			110
84	solo			110
85	millones			107
86	mismo			107
87	después			105
88	momento			104
89	ahora			104
90	antes			103
91	vez			100
92	ni			100
93	gobierno			99
94	tres			98
95	tiempo			96
96	además			94
97	día			94
98	7			94
99	personas			93
100	contra			92
