Rank	Word			Frequency
1	de			13453
2	la			7565
3	et			6336
4	le			6238
5	à			5671
6	pour			4920
7	un			4851
8	les			4621
9	une			4446
10	en			4298
11	des			3430
12	vous			3261
13	dans			2983
14	est			2498
15	ou			2172
16	du			2093
17	il			2084
18	qui			2050
19	que			1774
20	sur			1748
21	on			1720
22	plus			1705
23	votre			1588
24	avec			1515
25	ce			1446
26	se			1351
27	au			1336
28	par			1230
29	pas			1186
30	très			1119
31	si			1115
32	cette			1114
33	tout			1101
34	aussi			925
35	déco			902
36	couleur			884
37	chambre			870
38	a			857
39	ne			846
40	bleu			817
41	bien			796
42	salon			792
43	son			698
44	nous			696
45	sont			693
46	elle			692
47	cuisine			681
48	aux			679
49	c’est			675
50	mais			646
51	vos			614
52	couleurs			613
53	d’un			595
54	pièce			566
55	d’une			562
56	fait			559
57	comme			534
58	«			530
59	»			527
60	bois			524
61	peut			519
62	pouvez			511
63	être			505
64	décoration			492
65	blanc			474
66	tendance			470
67	faire			466
68	–			459
69	sa			458
70	gris			455
71	vert			446
72	intérieur			416
73	donc			405
74	sans			393
75	salle			388
76	peu			380
77	ces			359
78	même			357
79	touche			348
80	style			346
81	mobilier			343
82	entre			341
83	canapé			341
84	permet			338
85	rose			329
86	choix			315
87	petit			313
88	papier			312
89	effet			304
90	ses			302
91	lui			294
92	nos			290
93	espace			290
94	peint			288
95	également			284
96	maison			284
97	modèle			283
98	mur			283
99	murs			279
100	ainsi			278
